user_id,item_id,cat_id,merchant_id,brand_id,month,day,action,age_range,gender,province
328862,323294,833,2882,2661,08,29,0,0,1,内蒙古
328862,844400,1271,2882,2661,08,29,0,1,1,山西
328862,575153,1271,2882,2661,08,29,0,2,1,山西
328862,996875,1271,2882,2661,08,29,0,1,1,内蒙古
328862,1086186,1271,1253,1049,08,29,0,0,2,浙江
328862,623866,1271,2882,2661,08,29,0,0,2,黑龙江
328862,542871,1467,2882,2661,08,29,0,5,2,四川
328862,536347,1095,883,1647,08,29,0,7,1,吉林
328862,364513,1271,2882,2661,08,29,0,1,2,贵州
328862,575153,1271,2882,2661,08,29,0,0,0,陕西
328862,239288,602,420,4953,08,01,0,6,0,北京市
328862,950862,962,4605,7622,08,01,0,1,0,天津市
328862,262500,602,420,4953,08,01,0,3,2,江苏
328862,1064265,614,4605,7622,08,01,0,0,0,安徽
328862,809148,602,420,4953,08,01,0,5,0,上海市
328862,197239,602,420,4953,08,01,0,3,0,河南
328862,43367,1505,3828,1446,05,26,0,0,0,安徽
328862,844535,302,3354,883,05,26,0,1,1,香港
328862,886633,1505,3828,1446,05,26,0,0,2,陕西
328862,81766,614,4605,7622,07,09,2,1,0,山西
328862,524981,664,2382,1272,06,02,0,5,0,甘肃
328862,81766,614,4605,7622,07,09,0,5,2,陕西
328862,208525,267,3073,8126,08,05,0,7,2,四川
328862,853901,267,3073,8126,08,05,2,7,0,山西
328862,1102596,267,3073,8126,08,05,2,1,1,山东
328862,963870,267,3073,8126,08,05,2,7,2,重庆市
328862,813647,267,3073,8126,08,05,2,7,2,福建
328862,208525,267,3073,8126,08,05,2,6,1,浙江
328862,943106,662,3354,883,05,26,0,6,1,广东
328862,950862,962,4605,7622,07,09,0,3,0,内蒙古
328862,943106,662,3354,883,05,26,0,4,0,山东
328862,1037824,662,4094,7749,05,31,0,4,2,重庆市
328862,339997,1432,323,320,05,31,0,1,2,山东
328862,706479,1505,780,516,09,21,0,6,1,云南
328862,544690,1095,780,516,09,21,0,1,2,新疆
328862,81766,614,4605,7622,08,01,2,0,0,澳门
328862,1064265,614,4605,7622,08,01,0,1,2,香港
328862,237512,154,883,1647,08,29,0,1,0,山西
328862,65116,614,4605,7622,07,09,0,6,0,山西
328862,261334,602,420,4953,08,01,0,1,2,湖北
328862,815434,602,420,4953,08,01,0,5,2,上海市
328862,467266,821,3354,883,05,26,0,7,1,新疆